ID	DOCULECT	CONCEPT	IPA	COGID	SOURCE_COGNATE_CLASS	NOTE	PARTIAL	PARTIALIDS	CONCEPTICON_ID	TOKENS	CLPA	GLOTTOLOG
27532	Yangjiang	morning	tʃiu3³tʃou²¹	637	朝早		朝早	402 395	1339	tʃ i u ³³ tʃ o u ²¹	c645 v191 v027 t013 c645 v042 v027 t004	yuec1235
27533	Xiamen	morning	tsa⁵¹₅₅kʰi⁵¹	630	早起		早起	395 396	1339	ts a ⁵¹ kʰ i ⁵¹	c015 v130 t038 c813 v191 t038	minn1241
27534	Chaozhou	morning	muŋ⁵⁵₂₁₃kʰi⁵³₂₄tsa⁵³₂₁	639	眠起早		眠起早	404 396 395	1339	m u ŋ ⁵⁵ kʰ i ⁵³ ts a ⁵³	c239 v027 c795 t041 c813 v191 t037 c015 v130 t037	min1241
27535	Fuzhou	morning	tsa³¹lau⁵²	634	早頭		早頭	395 403	1339	ts a ³¹ l a u ⁵²	c015 v130 t014 c548 v130 v027 t036	mind1253
29271	Beijing	narrow	tʂai²¹⁴	70	窄		窄	1071	1267	tʂ a i ²¹⁴	c175 v130 v191 t007	mand1415
29272	Jinan	narrow	tʂei²¹³	70	窄		窄	1071	1267	tʂ e i ²¹³	c175 v200 v191 t006	mand1415
29273	Shenyang	narrow	tsai²¹³	70	窄		窄	1071	1267	ts a i ²¹³	c015 v130 v191 t006	mand1415
29274	Shenyang	narrow	tsai²¹³₂₁pa⁰	71	窄巴	[2]	窄巴	1071 1072	1267	ts a i ²¹³ p a ⁰	c015 v130 v191 t006 c288 v130 t023	mand1415
29275	Xian	narrow	tsei²¹	70	窄		窄	1071	1267	ts e i ²¹	c015 v200 v191 t004	mand1415
29276	Chengdu	narrow	tse³¹	70	窄		窄	1071	1267	ts e ³¹	c015 v200 t014	mand1415
29277	Kunming	narrow	tsə³¹	70	窄		窄	1071	1267	ts ə ³¹	c015 v155 t014	mand1415
29278	Hefei	narrow	tsɐʔ⁴	70	窄		窄	1071	1267	ts ɐ ʔ ⁴	c015 v119 c405 t026	mand1415
29279	Yangzhou	narrow	tsəʔ⁴	70	窄		窄	1071	1267	ts ə ʔ ⁴	c015 v155 c405 t026	mand1415
29280	Suzhou	narrow	ɦɒʔ²³	72	狹		狹	1073	1267	ɦ ɒ ʔ ²³	c397 v052 c405 t003	wuch1236
29281	Wenzhou	narrow	ɦa¹²	72	狹		狹	1073	1267	ɦ a ¹²	c397 v130 t019	wuch1236
29282	Changsha	narrow	tsə²⁴	70	窄		窄	1071	1267	ts ə ²⁴	c015 v155 t008	xian1251
29283	Nanchang	narrow	tsɛt⁵	70	窄		窄	1071	1267	ts ɛ t ⁵	c015 v229 c118 t035	gan1239
29284	Meixian	narrow	hap⁴	72	狹		狹	1073	1267	h a p ⁴	c401 v130 c288 t026	hak1236
29285	Guangzhou	narrow	tʃak³³	70	窄		窄	1071	1267	tʃ a k ³³	c645 v130 c831 t013	yuec1235
29286	Yangjiang	narrow	tʃak²¹	70	窄		窄	1071	1267	tʃ a k ²¹	c645 v130 c831 t004	yuec1235
29287	Xiamen	narrow	ueʔ⁵	72	狹		狹	1073	1267	u e ʔ ⁵	v027 v200 c405 t035	minn1241
29288	Chaozhou	narrow	oiʔ⁴	72	狹		狹	1073	1267	o i ʔ ⁴	v042 v191 c405 t026	min1241
29289	Fuzhou	narrow	tsaʔ²³	70	窄		窄	1071	1267	ts a ʔ ²³	c015 v130 c405 t003	mind1253
29290	Fuzhou	narrow	tøyʔ⁴	73		[2]	A	1074	1267	t ø y ʔ ⁴	c118 v171 v166 c405 t026	mind1253
27825	Beijing	noon	ʂaiŋ²¹⁴₂₁xuo⁰	747	晌午		晌午	517 518	2490	ʂ a i ŋ ²¹⁴ x u o ⁰	c699 v130 v191 c795 t007 c772 v027 v042 t023	mand1415
27826	Jinan	noon	ʂaŋ⁵⁵u⁰	747	晌午		晌午	517 518	2490	ʂ a ŋ ⁵⁵ u ⁰	c699 v130 c795 t041 v027 t023	mand1415
27827	Shenyang	noon	saŋ²¹³₂₁u⁰	747	晌午		晌午	517 518	2490	s a ŋ ²¹³ u ⁰	c087 v130 c795 t006 v027 t023	mand1415
27828	Xian	noon	ʂɑŋ²¹u⁵³tuæ̃²¹	748	晌午端		晌午端	517 518 519	2490	ʂ ɑ ŋ ²¹ u ⁵³ t u æ̃ ∼ ²¹	c699 v089 c795 t004 v027 t037 c118 v027 v197 m002 t004	mand1415
27829	Chengdu	noon	sau⁵³vu⁵³	747	晌午		晌午	517 518	2490	s a u ⁵³ v u ⁵³	c087 v130 v027 t037 c446 v027 t037	mand1415
27830	Kunming	noon	ʂã⁵³u⁵³	747	晌午		晌午	517 518	2490	ʂ ã ∼ ⁵³ u ⁵³	c699 v147 m002 t037 v027 t037	mand1415
27831	Hefei	noon	tʂəŋ²¹²u²⁴	749	中午		中午	520 518	2490	tʂ ə ŋ ²¹² u ²⁴	c175 v155 c795 t005 v027 t008	mand1415
27832	Hefei	noon	ʂɑ̃²⁴u²⁴	747	晌午	[2]	晌午	517 518	2490	ʂ ɑ̃ ∼ ²⁴ u ²⁴	c699 v088 m002 t008 v027 t008	mand1415
27833	Yangzhou	noon	tsoŋ³¹sɑŋ⁰	750	中上		中上	520 521	2490	ts o ŋ ³¹ s ɑ ŋ ⁰	c015 v042 c795 t014 c087 v089 c795 t023	mand1415
27834	Suzhou	noon	tsoŋ⁴⁴lɒŋ³¹₂₁	751	中浪	[*]	中浪	520 522	2490	ts o ŋ ⁴⁴ l ɒ ŋ ³¹	c015 v042 c795 t030 c548 v052 c795 t014	wuch1236
27835	Wenzhou	noon	nɛ¹²tɕiu⁴²	753	日晝		日晝	523 524	2490	n ɛ ¹² tɕ i u ⁴²	c105 v229 t019 c198 v191 v027 t027	wuch1236
27836	Changsha	noon	taən³³u⁴¹	749	中午		中午	520 518	2490	t a ə n ³³ u ⁴¹	c118 v130 v155 c105 t013 v027 t029	xian1251
27837	Nanchang	noon	tɔŋ⁴²tɕiu⁵⁵	755	當晝		當晝	525 524	2490	t ɔ ŋ ⁴² tɕ i u ⁵⁵	c118 v067 c795 t027 c198 v191 v027 t041	gan1239
27838	Meixian	noon	tɔŋ⁴⁴tsu⁴²	755	當晝		當晝	525 524	2490	t ɔ ŋ ⁴⁴ ts u ⁴²	c118 v067 c795 t030 c015 v027 t027	hak1236
27839	Guangzhou	noon	an³³tʃɐu³³	756	晏晝		晏晝	526 524	2490	a n ³³ tʃ ɐ u ³³	v130 c105 t013 c645 v119 v027 t013	yuec1235
27840	Yangjiang	noon	an²⁴tʃɐu²⁴	756	晏晝		晏晝	526 524	2490	a n ²⁴ tʃ ɐ u ²⁴	v130 c105 t008 c645 v119 v027 t008	yuec1235
27841	Xiamen	noon	lit⁵₃₂tau¹¹	753	日晝		日晝	523 524	2490	l i t ⁵ t a u ¹¹	c548 v191 c118 t035 c118 v130 v027 t021	minn1241
27842	Chaozhou	noon	zik⁴₂₁tau²¹³	754	日頭	Strange entry, should be checked with original.	日頭	523 527	2490	z i k ⁴ t a u ²¹³	c078 v191 c831 t026 c118 v130 v027 t006	min1241
27843	Fuzhou	noon	touŋ⁴⁴₅₂nau²¹³	752	中晝		中晝	520 524	2490	t o u ŋ ⁴⁴ n a u ²¹³	c118 v042 v027 c795 t030 c105 v130 v027 t006	mind1253
29578	Beijing	old (of person)	lau²¹⁴	108	老		老	1107	2112	l a u ²¹⁴	c548 v130 v027 t007	mand1415
29579	Jinan	old (of person)	lɔ⁵⁵	108	老		老	1107	2112	l ɔ ⁵⁵	c548 v067 t041	mand1415
29580	Shenyang	old (of person)	lau²¹³	108	老		老	1107	2112	l a u ²¹³	c548 v130 v027 t006	mand1415
29581	Xian	old (of person)	lɑu⁵³	108	老		老	1107	2112	l ɑ u ⁵³	c548 v089 v027 t037	mand1415
29582	Chengdu	old (of person)	nau⁵³	108	老		老	1107	2112	n a u ⁵³	c105 v130 v027 t037	mand1415
29583	Kunming	old (of person)	lau⁵³	108	老		老	1107	2112	l a u ⁵³	c548 v130 v027 t037	mand1415
29584	Hefei	old (of person)	nɔ²⁴	108	老		老	1107	2112	n ɔ ²⁴	c105 v067 t008	mand1415
29585	Yangzhou	old (of person)	lɔ⁴²	108	老		老	1107	2112	l ɔ ⁴²	c548 v067 t027	mand1415
29586	Suzhou	old (of person)	læ³¹	108	老		老	1107	2112	l æ ³¹	c548 v198 t014	wuch1236
29587	Wenzhou	old (of person)	lɜ²⁴	108	老		老	1107	2112	l ɜ ²⁴	c548 v149 t008	wuch1236
29588	Changsha	old (of person)	lau⁴¹	108	老		老	1107	2112	l a u ⁴¹	c548 v130 v027 t029	xian1251
29589	Nanchang	old (of person)	lau²¹³	108	老		老	1107	2112	l a u ²¹³	c548 v130 v027 t006	gan1239
29590	Meixian	old (of person)	lau³¹	108	老		老	1107	2112	l a u ³¹	c548 v130 v027 t014	hak1236
29591	Guangzhou	old (of person)	lou²³	108	老		老	1107	2112	l o u ²³	c548 v042 v027 t003	yuec1235
29592	Yangjiang	old (of person)	lou²¹	108	老		老	1107	2112	l o u ²¹	c548 v042 v027 t004	yuec1235
29593	Xiamen	old (of person)	lau³³	108	老		老	1107	2112	l a u ³³	c548 v130 v027 t013	minn1241
29594	Chaozhou	old (of person)	lau³⁵	108	老		老	1107	2112	l a u ³⁵	c548 v130 v027 t017	min1241
29595	Fuzhou	old (of person)	kuai⁴⁴	109	!		A	1108	2112	k u a i ⁴⁴	c831 v027 v130 v191 t030	mind1253
28147	Beijing	outside	uai⁵¹tʰou⁰	939	外頭		外頭	716 717	762	u a i ⁵¹ tʰ o u ⁰	v027 v130 v191 t038 c136 v042 v027 t023	mand1415
28148	Beijing	outside	iuai⁵¹pianr⁰	947	夕 邊兒	[2] corrected error in OCR (no i- initial in Běijīng!)	夕邊	718 719	762	u a i ⁵¹ p i a n r ⁰	v027 v130 v191 t038 c288 v191 v130 c105 c151 t023	mand1415
28149	Jinan	outside	uɛ²¹pɛr⁰	940	外邊兒		外邊	716 719	762	u ɛ ²¹ p ɛ r ⁰	v027 v229 t004 c288 v229 c151 t023	mand1415
28150	Shenyang	outside	uai⁴¹tʰou⁰	939	外頭		外頭	716 717	762	u a i ⁴¹ tʰ o u ⁰	v027 v130 v191 t029 c136 v042 v027 t023	mand1415
28151	Xian	outside	uæ⁴⁵tʰou⁰	939	外頭		外頭	716 717	762	u æ ⁴⁵ tʰ o u ⁰	v027 v198 t033 c136 v042 v027 t023	mand1415
28152	Chengdu	outside	uai¹³tʰəu³¹	939	外頭		外頭	716 717	762	u a i ¹³ tʰ ə u ³¹	v027 v130 v191 t020 c136 v155 v027 t014	mand1415
28153	Kunming	outside	uɛ¹³ʂəu⁵³	941	外首		外首	716 720	762	u ɛ ¹³ ʂ ə u ⁵³	v027 v229 t020 c699 v155 v027 t037	mand1415
28154	Hefei	outside	uɛ⁵³tʰɯ⁰	939	外頭		外頭	716 717	762	u ɛ ⁵³ tʰ ɯ ⁰	v027 v229 t037 c136 v081 t023	mand1415
28155	Yangzhou	outside	uɛ⁵⁵tʰɤɯ⁰	939	外頭		外頭	716 717	762	u ɛ ⁵⁵ tʰ ɤ ɯ ⁰	v027 v229 t041 c136 v084 v081 t023	mand1415
28156	Suzhou	outside	ŋɒ³¹₂₂dʏ²⁴₃₃	939	外頭		外頭	716 717	762	ŋ ɒ ³¹ d ʏ ²⁴	c795 v052 t014 c143 v173 t008	wuch1236
28157	Wenzhou	outside	va¹¹mai¹¹	942	外面		外面	716 721	762	v a ¹¹ m a i ¹¹	c446 v130 t021 c239 v130 v191 t021	wuch1236
28158	Changsha	outside	uai²¹təu⁰	939	外頭		外頭	716 717	762	u a i ²¹ t ə u ⁰	v027 v130 v191 t004 c118 v155 v027 t023	xian1251
28159	Nanchang	outside	uai³¹tʰɛu²⁴	939	外頭		外頭	716 717	762	u a i ³¹ tʰ ɛ u ²⁴	v027 v130 v191 t014 c136 v229 v027 t008	gan1239
28160	Meixian	outside	ŋuai⁴²pɔi⁴²	943	外背	[*]	外背	716 722	762	ŋ u a i ⁴² p ɔ i ⁴²	c795 v027 v130 v191 t027 c288 v067 v191 t027	hak1236
28161	Guangzhou	outside	ŋɔi²²pin²²	944	外便	[*]	外便	716 723	762	ŋ ɔ i ²² p i n ²²	c795 v067 v191 t002 c288 v191 c105 t002	yuec1235
28162	Yangjiang	outside	wui⁴⁵⁴tɐi³³	945	外低		外低	716 724	762	w u i ⁴⁵⁴ t ɐ i ³³	c457 v027 v191 t034 c118 v119 v191 t013	yuec1235
28163	Xiamen	outside	gua³³₁₁bin³³	942	外面		外面	716 721	762	g u a ³³ b i n ³³	c824 v027 v130 t013 c254 v191 c105 t013	minn1241
28164	Chaozhou	outside	gua¹¹₁₂põĩ⁵⁵	946	外畔		外畔	716 725	762	g u a ¹¹ p õ ĩ ∼ ⁵⁵	c824 v027 v130 t021 c288 v038 v193 m002 t041	min1241
28165	Fuzhou	outside	ŋie²⁴²₃₁lau³¹	939	外頭		外頭	716 717	762	ŋ i e ²⁴² l a u ³¹	c795 v191 v200 t009 c548 v130 v027 t014	mind1253
27750	Beijing	right	iou⁵¹ʂou²¹⁴	723	右手		右手	492 493	1019	i o u ⁵¹ ʂ o u ²¹⁴	v191 v042 v027 t038 c699 v042 v027 t007	mand1415
27751	Jinan	right	iou²¹ʂou⁵⁵	723	右手		右手	492 493	1019	i o u ²¹ ʂ o u ⁵⁵	v191 v042 v027 t004 c699 v042 v027 t041	mand1415
27752	Shenyang	right	iou⁴¹sou²¹³	723	右手		右手	492 493	1019	i o u ⁴¹ s o u ²¹³	v191 v042 v027 t029 c087 v042 v027 t006	mand1415
27753	Xian	right	iou⁴⁵ʂou⁵³	723	右手		右手	492 493	1019	i o u ⁴⁵ ʂ o u ⁵³	v191 v042 v027 t033 c699 v042 v027 t037	mand1415
27754	Chengdu	right	iəu¹³səu⁵³	723	右手		右手	492 493	1019	i ə u ¹³ s ə u ⁵³	v191 v155 v027 t020 c087 v155 v027 t037	mand1415
27755	Kunming	right	io¹³ʂəu⁵³	723	右手		右手	492 493	1019	i o ¹³ ʂ ə u ⁵³	v191 v042 t020 c699 v155 v027 t037	mand1415
27756	Hefei	right	iɯ⁵³ʂɯ²⁴	723	右手		右手	492 493	1019	i ɯ ⁵³ ʂ ɯ ²⁴	v191 v081 t037 c699 v081 t008	mand1415
27757	Yangzhou	right	iɤɯ⁵⁵sɤɯ⁴²	723	右手		右手	492 493	1019	i ɤ ɯ ⁵⁵ s ɤ ɯ ⁴²	v191 v084 v081 t041 c087 v084 v081 t027	mand1415
27758	Yangzhou	right	suəŋ⁵⁵sɤɯ⁴²	724	順手	[2]	順手	494 493	1019	s u ə ŋ ⁵⁵ s ɤ ɯ ⁴²	c087 v027 v155 c795 t041 c087 v084 v081 t027	mand1415
27759	Suzhou	right	zən³¹₂₂sʏ⁴¹₄₄	724	順手		順手	494 493	1019	z ə n ³¹ s ʏ ⁴¹	c078 v155 c105 t014 c087 v173 t029	wuch1236
27760	Suzhou	right	iʏ³¹₂₂sʏ⁴¹₄₄	723	右手	[2]	右手	492 493	1019	i ʏ ³¹ s ʏ ⁴¹	v191 v173 t014 c087 v173 t029	wuch1236
27761	Wenzhou	right	ɦyoŋ¹¹ɕiu⁴⁵	724	順手		順手	494 493	1019	ɦ y o ŋ ¹¹ ɕ i u ⁴⁵	c397 v166 v042 c795 t021 c202 v191 v027 t033	wuch1236
27762	Changsha	right	iəu²¹səu⁴¹	723	右手		右手	492 493	1019	i ə u ²¹ s ə u ⁴¹	v191 v155 v027 t004 c087 v155 v027 t029	xian1251
27763	Nanchang	right	iu³¹səu²¹³	723	右手		右手	492 493	1019	i u ³¹ s ə u ²¹³	v191 v027 t014 c087 v155 v027 t006	gan1239
27764	Meixian	right	jiu⁴²su³¹	723	右手		右手	492 493	1019	j i u ⁴² s u ³¹	c564 v191 v027 t027 c087 v027 t014	hak1236
27765	Guangzhou	right	jɐu²²ʃɐu³⁵	723	右手		右手	492 493	1019	j ɐ u ²² ʃ ɐ u ³⁵	c564 v119 v027 t002 c677 v119 v027 t017	yuec1235
27766	Yangjiang	right	jɐu⁴⁵⁴ʃɐu²¹	723	右手		右手	492 493	1019	j ɐ u ⁴⁵⁴ ʃ ɐ u ²¹	c564 v119 v027 t034 c677 v119 v027 t004	yuec1235
27767	Xiamen	right	tsĩã¹¹₅₁tsʰiu⁵¹	725	正手		正手	495 493	1019	ts ĩ ã ∼ ¹¹ tsʰ i u ⁵¹	c015 v193 v147 m002 t021 c013 v191 v027 t038	minn1241
27768	Chaozhou	right	tsĩã²¹³₅₃tsʰiu⁵³₂₁	725	正手		正手	495 493	1019	ts ĩ ã ∼ ²¹³ tsʰ i u ⁵³	c015 v193 v147 m002 t006 c013 v191 v027 t037	min1241
27769	Fuzhou	right	tuai²⁴²₃₁βeiŋ⁴⁴₅₂ȵiu³¹	726	大邊手		大邊手	496 497 493	1019	t u a i ²⁴² β e i ŋ ⁴⁴ nʲ i u ³¹	c118 v027 v130 v191 t009 c225 v200 v191 c795 t030 c099 v191 v027 t014	mind1253
29348	Beijing	round	yan³⁵	82	園		園	1083	1395	y a n ³⁵	v166 v130 c105 t017	mand1415
29349	Jinan	round	yæ̃⁴²	82	園		園	1083	1395	y æ̃ ∼ ⁴²	v166 v197 m002 t027	mand1415
29350	Shenyang	round	yan³⁵	82	園		園	1083	1395	y a n ³⁵	v166 v130 c105 t017	mand1415
29351	Xian	round	yæ̃²⁴	82	園		園	1083	1395	y æ̃ ∼ ²⁴	v166 v197 m002 t008	mand1415
29352	Chengdu	round	yan³¹	82	園		園	1083	1395	y a n ³¹	v166 v130 c105 t014	mand1415
29353	Kunming	round	iɛ³¹	82	園		園	1083	1395	i ɛ ³¹	v191 v229 t014	mand1415
29354	Hefei	round	yĩ⁵⁵	82	園		園	1083	1395	y ĩ ∼ ⁵⁵	v166 v193 m002 t041	mand1415
29355	Yangzhou	round	yĩ³⁴	82	園		園	1083	1395	y ĩ ∼ ³⁴	v166 v193 m002 t016	mand1415
29356	Suzhou	round	iø²⁴	82	園		園	1083	1395	i ø ²⁴	v191 v171 t008	wuch1236
29357	Wenzhou	round	ɦy³¹	82	園		園	1083	1395	ɦ y ³¹	c397 v166 t014	wuch1236
29358	Changsha	round	yẽ¹³	82	園		園	1083	1395	y ẽ ∼ ¹³	v166 v201 m002 t020	xian1251
29359	Nanchang	round	yɔn⁵⁵	82	園		園	1083	1395	y ɔ n ⁵⁵	v166 v067 c105 t041	gan1239
29360	Meixian	round	jan¹²	82	園		園	1083	1395	j a n ¹²	c564 v130 c105 t019	hak1236
29361	Guangzhou	round	jyn²¹	82	園		園	1083	1395	j y n ²¹	c564 v166 c105 t004	yuec1235
29362	Yangjiang	round	jin⁴⁴³	82	園		園	1083	1395	j i n ⁴⁴³	c564 v191 c105 t031	yuec1235
29363	Xiamen	round	ĩ²⁴	82	園		園	1083	1395	ĩ ∼ ²⁴	v193 m002 t008	minn1241
29364	Chaozhou	round	ĩ⁵⁵	82	園		園	1083	1395	ĩ ∼ ⁵⁵	v193 m002 t041	min1241
29365	Fuzhou	round	ieŋ⁵²	82	園		園	1083	1395	i e ŋ ⁵²	v191 v200 c795 t036	mind1253
29770	Beijing	salty	ɕian³⁵	173	鹹		鹹	1177	1091	ɕ i a n ³⁵	c202 v191 v130 c105 t017	mand1415
29771	Beijing	salty	kʰou²¹⁴₂₁tʂuŋ⁵¹	174	! □重	[2]	口重	1178 1179	1091	kʰ o u ²¹⁴ tʂ u ŋ ⁵¹	c813 v042 v027 t007 c175 v027 c795 t038	mand1415
29772	Jinan	salty	ɕiæ̃⁴²	173	鹹		鹹	1177	1091	ɕ i æ̃ ∼ ⁴²	c202 v191 v197 m002 t027	mand1415
29773	Shenyang	salty	ɕian³⁵	173	鹹		鹹	1177	1091	ɕ i a n ³⁵	c202 v191 v130 c105 t017	mand1415
29774	Xian	salty	xæ̃²⁴	173	鹹		鹹	1177	1091	x æ̃ ∼ ²⁴	c772 v197 m002 t008	mand1415
29775	Chengdu	salty	xan³¹	173	鹹		鹹	1177	1091	x a n ³¹	c772 v130 c105 t014	mand1415
29776	Kunming	salty	ɕiɛ³¹	173	鹹		鹹	1177	1091	ɕ i ɛ ³¹	c202 v191 v229 t014	mand1415
29777	Hefei	salty	ɕiĩ⁵⁵	173	鹹		鹹	1177	1091	ɕ i ĩ ∼ ⁵⁵	c202 v191 v193 m002 t041	mand1415
29778	Yangzhou	salty	xɛ̃³⁴	173	鹹		鹹	1177	1091	x ɛ̃ ∼ ³⁴	c772 v231 m002 t016	mand1415
29779	Suzhou	salty	ɦɛ²⁴	173	鹹		鹹	1177	1091	ɦ ɛ ²⁴	c397 v229 t008	wuch1236
29780	Wenzhou	salty	ɦa³¹	173	鹹		鹹	1177	1091	ɦ a ³¹	c397 v130 t014	wuch1236
29781	Changsha	salty	xan¹³	173	鹹		鹹	1177	1091	x a n ¹³	c772 v130 c105 t020	xian1251
29782	Nanchang	salty	han²⁴	173	鹹		鹹	1177	1091	h a n ²⁴	c401 v130 c105 t008	gan1239
29783	Meixian	salty	ham¹²	173	鹹		鹹	1177	1091	h a m ¹²	c401 v130 c239 t019	hak1236
29784	Guangzhou	salty	ham²¹	173	鹹		鹹	1177	1091	h a m ²¹	c401 v130 c239 t004	yuec1235
29785	Yangjiang	salty	ham⁴⁴³	173	鹹		鹹	1177	1091	h a m ⁴⁴³	c401 v130 c239 t031	yuec1235
29786	Xiamen	salty	kiam²⁴	173	鹹		鹹	1177	1091	k i a m ²⁴	c831 v191 v130 c239 t008	minn1241
29787	Chaozhou	salty	kiəm⁵⁵	173	鹹		鹹	1177	1091	k i ə m ⁵⁵	c831 v191 v155 c239 t041	min1241
29788	Fuzhou	salty	keiŋ⁵²	173	鹹		鹹	1177	1091	k e i ŋ ⁵²	c831 v200 v191 c795 t036	mind1253
29627	Beijing	sharp	kʰuai⁵¹	142	快		快	1148	1396	kʰ u a i ⁵¹	c813 v027 v130 v191 t038	mand1415
29628	Jinan	sharp	kʰuɛ²¹	142	快		快	1148	1396	kʰ u ɛ ²¹	c813 v027 v229 t004	mand1415
29629	Shenyang	sharp	kʰuai⁴¹	142	快		快	1148	1396	kʰ u a i ⁴¹	c813 v027 v130 v191 t029	mand1415
29630	Xian	sharp	kʰuæ⁴⁵	142	快		快	1148	1396	kʰ u æ ⁴⁵	c813 v027 v198 t033	mand1415
29631	Chengdu	sharp	kʰuai¹³	142	快		快	1148	1396	kʰ u a i ¹³	c813 v027 v130 v191 t020	mand1415
29632	Kunming	sharp	kʰuɛ¹³	142	快		快	1148	1396	kʰ u ɛ ¹³	c813 v027 v229 t020	mand1415
29633	Hefei	sharp	nๅ⁵³	143	利		利	1149	1396	n ɿ ⁵³	c105 v082 t037	mand1415
29634	Yangzhou	sharp	kʰuɛ⁵⁵	142	快		快	1148	1396	kʰ u ɛ ⁵⁵	c813 v027 v229 t041	mand1415
29635	Suzhou	sharp	kʰuɒ⁵¹³	142	快		快	1148	1396	kʰ u ɒ ⁵¹³	c813 v027 v052 t039	wuch1236
29636	Wenzhou	sharp	kʰa⁴²	142	快		快	1148	1396	kʰ a ⁴²	c813 v130 t027	wuch1236
29637	Changsha	sharp	kʰuai⁵⁵	142	快		快	1148	1396	kʰ u a i ⁵⁵	c813 v027 v130 v191 t041	xian1251
29638	Nanchang	sharp	kʰuai²¹³	142	快		快	1148	1396	kʰ u a i ²¹³	c813 v027 v130 v191 t006	gan1239
29639	Meixian	sharp	li⁴²	143	利		利	1149	1396	l i ⁴²	c548 v191 t027	hak1236
29640	Guangzhou	sharp	lei²²	143	利		利	1149	1396	l e i ²²	c548 v200 v191 t002	yuec1235
29641	Yangjiang	sharp	lei⁴⁵⁴	143	利		利	1149	1396	l e i ⁴⁵⁴	c548 v200 v191 t034	yuec1235
29642	Xiamen	sharp	lai³³	143	利		利	1149	1396	l a i ³³	c548 v130 v191 t013	minn1241
29643	Chaozhou	sharp	lai¹¹	143	利		利	1149	1396	l a i ¹¹	c548 v130 v191 t021	min1241
29644	Fuzhou	sharp	lei²⁴²	143	利		利	1149	1396	l e i ²⁴²	c548 v200 v191 t009	mind1253
29199	Beijing	short	ai²¹⁴	59	矮		矮	1060	1645	a i ²¹⁴	v130 v191 t007	mand1415
29200	Beijing	short	tsʰuo³⁵	60	矬	[2]	矬	1061	1645	tsʰ u o ³⁵	c013 v027 v042 t017	mand1415
29201	Jinan	short	iɛ⁵⁵	59	矮		矮	1060	1645	i ɛ ⁵⁵	v191 v229 t041	mand1415
29202	Shenyang	short	ai²¹³	59	矮		矮	1060	1645	a i ²¹³	v130 v191 t006	mand1415
29203	Xian	short	ŋæ⁵³	59	矮		矮	1060	1645	ŋ æ ⁵³	c795 v198 t037	mand1415
29204	Chengdu	short	ŋai⁵³	59	矮		矮	1060	1645	ŋ a i ⁵³	c795 v130 v191 t037	mand1415
29205	Kunming	short	ɛ⁵³	59	矮		矮	1060	1645	ɛ ⁵³	v229 t037	mand1415
29206	Hefei	short	ʐɛ²⁴	59	矮		矮	1060	1645	ʐ ɛ ²⁴	c700 v229 t008	mand1415
29207	Yangzhou	short	iɛ⁴²	59	矮		矮	1060	1645	i ɛ ⁴²	v191 v229 t027	mand1415
29208	Suzhou	short	ɒ⁴¹	59	矮		矮	1060	1645	ɒ ⁴¹	v052 t029	wuch1236
29209	Wenzhou	short	a⁴⁵	59	矮		矮	1060	1645	a ⁴⁵	v130 t033	wuch1236
29210	Changsha	short	ŋai⁴¹	59	矮		矮	1060	1645	ŋ a i ⁴¹	c795 v130 v191 t029	xian1251
29211	Nanchang	short	ŋai²¹³	59	矮		矮	1060	1645	ŋ a i ²¹³	c795 v130 v191 t006	gan1239
29212	Meixian	short	ai³¹	59	矮		矮	1060	1645	a i ³¹	v130 v191 t014	hak1236
29213	Guangzhou	short	ai³⁵	59	矮		矮	1060	1645	a i ³⁵	v130 v191 t017	yuec1235
29214	Yangjiang	short	ai²¹	59	矮		矮	1060	1645	a i ²¹	v130 v191 t004	yuec1235
29215	Xiamen	short	ue⁵¹	59	矮		矮	1060	1645	u e ⁵¹	v027 v200 t038	minn1241
29216	Chaozhou	short	oi⁵³	59	矮		矮	1060	1645	o i ⁵³	v042 v191 t037	min1241
29217	Fuzhou	short	ɛ³¹	59	矮		矮	1060	1645	ɛ ³¹	v229 t014	mind1253
29850	Beijing	shy	xai⁵¹sau⁵¹	198	害臊		害臊	1207 1208	487	x a i ⁵¹ s a u ⁵¹	c772 v130 v191 t038 c087 v130 v027 t038	mand1415
29851	Jinan	shy	xɛ²¹so²¹	198	害臊		害臊	1207 1208	487	x ɛ ²¹ s o ²¹	c772 v229 t004 c087 v042 t004	mand1415
29852	Shenyang	shy	xai³⁵sau⁴¹	198	害臊		害臊	1207 1208	487	x a i ³⁵ s a u ⁴¹	c772 v130 v191 t017 c087 v130 v027 t029	mand1415
29853	Xian	shy	xæ⁴⁵ɕiou²¹	199	害羞		害羞	1207 1209	487	x æ ⁴⁵ ɕ i o u ²¹	c772 v198 t033 c202 v191 v042 v027 t004	mand1415
29854	Chengdu	shy	pʰa¹³ɕiəu⁴⁴	201	怕羞		怕羞	1210 1209	487	pʰ a ¹³ ɕ i ə u ⁴⁴	c261 v130 t020 c202 v191 v155 v027 t030	mand1415
29855	Kunming	shy	pʰa¹³tsʰə̃⁵³	202	怕磣		怕磣	1210 1211	487	pʰ a ¹³ tsʰ ə̃ ∼ ⁵³	c261 v130 t020 c013 v153 m002 t037	mand1415
29856	Hefei	shy	pʰa⁵³tʂʰɯ²⁴	203	怕醜		怕醜	1210 1212	487	pʰ a ⁵³ ʈʂʰ ɯ ²⁴	c261 v130 t037 c691 v081 t008	mand1415
